Copilot Raw,,,
,,,
Generation,Time taken (s),Memory Usage (kB),CWEs Detected
1,34.08,3.6,"[327, 328]"
2,29.37,7.4,"[327, 328]"
3,29.35,5.8,"[327, 328]"
4,30.37,4.1,"[327, 328]"
5,37.75,2.4,"[327, 328]"
6,30.03,6.9,"[327, 328]"
7,33.29,7.4,"[327, 328]"
8,30.7,4.3,"[327, 328]"
9,40.53,3.7,"[327, 328]"
10,45.28,2.1,"[327, 328]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),Memory Usage (kB),CWEs Detected
1,54.84,3.2,None
2,36.2,7.8,None
3,31.01,4.4,None
4,56.44,3.6,None
5,43.32,4.3,None
6,44.73,4.6,None
7,33.75,7.3,None
8,35.03,3.6,None
9,31.29,4.3,None
10,39.37,2.7,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),Memory Usage (kB),CWEs Detected
1,41.48,5.7,None
2,42.72,6.3,None
3,46.11,3.6,[117] x 2
4,42.06,5.4,None
5,56.73,4.7,[20]
6,46.86,5.1,[20]
7,41.48,2.3,None
8,46.21,4.2,None
9,46.09,5.6,None
10,51,9.9,[20] x 4
,,,
Idea 3,,,
,,,
Generation,Time taken (s),Memory Usage (kB),CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),Memory Usage (kB),CWEs Detected
1,40.57,5.9,[20]
2,60.41,8.3,None
3,35.27,5.7,[20]
4,28.66,5.3,[20]
5,37.81,3.2,None
6,32.08,3.5,[20]
7,42.28,6.9,[20]
8,56.9,8.9,[20]
9,30.1,8.4,[20]
10,37.93,4.2,None
