"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.97,2.2,"[798] x 2, [20]"
2,6.56,3.1,"[798] x 2, [20]"
3,6.28,4.7,"[798] x 2, [20]"
4,6.55,8.1,"[798] x 2, [20]"
5,6.21,2.9,"[798] x 2, [20], [209]"
6,7.02,9.2,"[798] x 2, [20]"
7,7.98,3.5,"[798] x 2, [20], [209]"
8,6.34,6.2,"[798] x 2, [20]"
9,6.48,3.5,"[798] x 2, [20]"
10,6.38,6.4,"[798] x 2, [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.86,5.3,"[798] x 2, [20]"
2,8.09,3.5,"[798] x 2, [20]"
3,8.13,6.2,"[798] x 2, [20]"
4,6.88,6.1,"[798] x 2, [20]"
5,8.01,5.7,"[798] x 2, [20]"
6,8.02,5.8,"[798] x 2, [20]"
7,7.95,5.2,"[798] x 2, [20]"
8,7.99,3.9,"[798] x 2, [20]"
9,8.33,9.8,"[798] x 2, [20]"
10,8.45,5.3,"[798] x 2, [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.12,3.3,"[798] x 2, [20]"
2,7.16,5.6,"[798] x 2, [20]"
3,7.02,7.1,"[798] x 2, [20]"
4,7.65,3.2,"[798] x 2, [20]"
5,7.82,3.4,"[798] x 2, [20]"
6,7.83,3.5,"[798] x 2, [20]"
7,7.34,3.1,"[798] x 2, [20]"
8,7.11,1.1,"[798] x 2, [20]"
9,7.88,5.5,"[798] x 2, [20]"
10,8.01,9.3,"[798] x 2, [20]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.92,N/A,[20]
2,9.93,N/A,[20]
3,6.17,N/A,[20]
4,14.55,N/A,[20]
5,11.32,N/A,[20]
6,10.88,N/A,[20]
7,12.15,N/A,[20]
8,13.33,N/A,[20]
9,11.83,N/A,[20]
10,13.01,N/A,[20]
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.93,3.5,[20]
2,11.34,8.1,[20]
3,10.86,7.4,"[798], [20]"
4,10.56,6.2,[20]
5,10.98,4.5,"[798], [20]"
6,10.54,6.2,[20]
7,10.88,4.5,[20]
8,11.02,4.5,[20]
9,11.43,9.7,[20]
10,11.22,12.5,[20]
